Id,SalePrice
1461,126169.54411588507
1462,155450.11763743864
1463,176250.01833964523
1464,180538.68041285168
1465,193511.556286801
1466,181273.01984190874
1467,170717.70018362204
1468,173649.31318452474
1469,190422.24430142052
1470,124071.31453966694
1471,210106.41794804798
1472,92840.7171238623
1473,98707.521972013
1474,151738.2574213595
1475,146000.28541255172
1476,357565.5580180922
1477,245300.2358728547
1478,297845.5364191526
1479,248350.12819331678
1480,448941.7724248846
1481,336362.92609049944
1482,202001.39439281408
1483,178631.75531832897
1484,170813.80669176482
1485,175438.676574991
1486,200047.85886364366
1487,324547.13454459066
1488,240558.50914148532
1489,198038.14860319547
1490,191712.65574715778
1491,188307.88849840866
1492,98336.59300345575
1493,177379.64264696377
1494,282912.15690010815
1495,293514.73598299565
1496,227954.15194891815
1497,194778.92817266867
1498,154738.8304560736
1499,155933.81951445708
1500,149884.14508618187
1501,170225.96504382373
1502,160881.31797718533
1503,291534.1106139661
1504,224562.04642346982
1505,227058.40433362854
1506,177971.79436230462
1507,210492.72289771322
1508,190975.68655711034
1509,164648.26279001235
1510,154944.8796630166
1511,150408.87673015412
1512,164276.30014401398
1513,153655.4220754597
1514,155268.5751363282
1515,173695.41393782166
1516,152488.3033347784
1517,149914.92519443954
1518,137471.29900441578
1519,225611.31222264617
1520,139446.44127230102
1521,144181.36260249623
1522,160523.64919266792
1523,123489.54852878019
1524,122936.58547611898
1525,124787.58554133475
1526,127394.13181367994
1527,101083.07573556171
1528,129195.3769296772
1529,145854.42669055503
1530,166997.5137227485
1531,123738.38108024147
1532,110597.29438151563
1533,143206.9790481489
1534,119712.62800190941
1535,148380.09155881932
1536,120953.54568802111
1537,75333.88803775175
1538,150412.95979355113
1539,177595.9731147962
1540,105577.46284547402
1541,144802.45795187907
1542,140544.7331744913
1543,218915.80675612192
1544,80633.56179121071
1545,109941.45021356703
1546,120698.67924217581
1547,133428.5354411685
1548,127769.27460751403
1549,108597.01069812627
1550,137564.35605990005
1551,121523.76679208553
1552,139783.79712126666
1553,141533.42065346678
1554,107326.06514118417
1555,171129.10945163175
1556,84179.86136238828
1557,130321.5504691784
1558,86074.505929393
