Id,SalePrice
1461,122831.38
1462,153396.25
1463,190162.06
1464,197710.3
1465,187176.73
1466,169936.88
1467,173757.25
1468,166539.6
1469,183550.31
1470,126708.72
1471,195085.72
1472,92092.58
1473,94875.734
1474,153172.3
1475,119860.875
1476,374824.5
1477,256811.97
1478,282683.2
1479,268702.72
1480,463367.22
1481,338603.47
1482,206384.12
1483,167153.78
1484,163724.19
1485,173661.17
1486,196366.0
1487,335196.8
1488,237212.11
1489,198890.36
1490,212533.16
1491,190131.78
1492,94416.125
1493,174976.47
1494,284627.9
1495,291513.03
1496,230469.7
1497,184633.0
1498,162151.81
1499,155587.08
1500,147620.5
1501,173310.89
1502,150275.88
1503,309117.2
1504,241362.53
1505,220757.5
1506,199708.42
1507,246220.66
1508,202342.9
1509,166474.64
1510,144997.38
1511,144994.75
1512,179935.58
1513,142335.05
1514,145393.12
1515,196154.48
1516,149689.3
1517,154529.77
1518,140553.17
1519,227856.55
1520,137339.16
1521,134327.2
1522,170298.52
1523,112922.13
1524,123628.18
1525,120772.39
1526,120015.76
1527,108291.27
1528,131318.17
1529,146738.61
1530,166811.72
1531,115339.13
1532,102102.59
1533,142668.83
1534,117960.42
1535,147571.23
1536,110292.82
1537,70135.48
1538,162161.56
1539,185374.72
1540,101277.49
1541,141548.84
1542,140859.66
1543,225029.12
1544,83039.94
1545,110617.266
1546,126498.63
1547,134472.81
1548,130766.17
1549,107742.73
1550,132322.61
1551,115129.77
1552,129972.45
1553,139390.62
1554,115562.75
1555,169401.45
1556,92344.9
1557,105503.03
1558,86379.086
1559,86778.71
1560,132260.67
1561,134300.45
1562,127623.98
1563,119278.53
1564,157035.12
1565,143295.8
1566,237253.73
1567,77711.79
1568,217026.36
1569,145308.84
1570,136930.34
1571,115583.91
1572,149881.98
1573,243414.28
1574,117625.09
1575,219625.22
1576,223423.83
1577,192635.16
1578,136989.9
1579,143870.1
1580,200240.69
1581,151860.92
1582,129350.6
1583,334668.8
1584,228226.48
1585,141790.16
1586,77794.836
1587,99661.61
1588,147882.02
1589,103328.12
1590,133817.8
1591,98338.42
1592,120661.18
1593,124562.64
1594,129413.766
1595,112746.734
1596,245549.77
1597,177776.53
1598,200380.52
1599,176398.78
